ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title
1559477_s_at	7.14e-08	1.31e-12	6.14e+01	MEIS1	Meis homeobox 1
201150_s_at	2.62e-07	1.05e-11	5.31e+01	TIMP3	TIMP metallopeptidase inhibitor 3
215177_s_at	2.62e-07	1.44e-11	5.19e+01	ITGA6	integrin subunit alpha 6
200795_at	5.25e-07	3.84e-11	4.83e+01	SPARCL1	SPARC like 1
212531_at	7.76e-07	7.09e-11	4.61e+01	LCN2	lipocalin 2
225710_at	1.11e-06	1.22e-10	4.43e+01	GNB4	G protein subunit beta 4
218656_s_at	4.21e-06	5.40e-10	3.95e+01	LHFP	lipoma HMGIC fusion partner
225481_at	7.50e-06	1.10e-09	3.74e+01	FRMD6	FERM domain containing 6
202133_at	7.55e-06	1.24e-09	3.70e+01	WWTR1	WW domain containing transcription regulator 1
216321_s_at	9.60e-06	1.76e-09	3.60e+01	NR3C1	nuclear receptor subfamily 3 group C member 1
235489_at	1.04e-05	2.15e-09	3.54e+01	RHOJ	ras homolog family member J
210139_s_at	1.04e-05	2.46e-09	3.50e+01	PMP22	peripheral myelin protein 22
209167_at	1.04e-05	2.47e-09	3.50e+01	GPM6B	glycoprotein M6B
212419_at	1.20e-05	3.29e-09	3.42e+01	ZCCHC24	zinc finger CCHC-type containing 24
201656_at	1.20e-05	3.30e-09	3.42e+01	ITGA6	integrin subunit alpha 6
221748_s_at	1.31e-05	3.84e-09	3.38e+01	TNS1	tensin 1
206953_s_at	1.55e-05	4.83e-09	3.31e+01	ADGRL2	adhesion G protein-coupled receptor L2
225825_at	1.71e-05	5.99e-09	3.25e+01	C20orf194	chromosome 20 open reading frame 194
213069_at	1.71e-05	6.14e-09	3.25e+01	HEG1	heart development protein with EGF like domains 1
212077_at	1.71e-05	6.50e-09	3.23e+01	CALD1	caldesmon 1
204069_at	1.71e-05	6.77e-09	3.22e+01	MEIS1	Meis homeobox 1
228365_at	1.71e-05	6.91e-09	3.22e+01	CPNE8	copine 8
213139_at	1.71e-05	7.31e-09	3.20e+01	SNAI2	snail family transcriptional repressor 2
227758_at	1.71e-05	7.72e-09	3.19e+01	RERG	RAS like estrogen regulated growth inhibitor
224964_s_at	1.71e-05	8.09e-09	3.17e+01	GNG2	G protein subunit gamma 2
240157_at	1.71e-05	8.14e-09	3.17e+01		
209210_s_at	1.76e-05	8.67e-09	3.15e+01	FERMT2	fermitin family member 2
1557938_s_at	2.09e-05	1.07e-08	3.10e+01	PTRF	polymerase I and transcript release factor
202759_s_at	2.21e-05	1.17e-08	3.07e+01	PALM2-AKAP2///AKAP2	PALM2-AKAP2 readthrough///A-kinase anchoring protein 2
203603_s_at	2.51e-05	1.38e-08	3.03e+01	ZEB2	zinc finger E-box binding homeobox 2
212265_at	2.60e-05	1.48e-08	3.01e+01	QKI	QKI, KH domain containing RNA binding
203065_s_at	2.75e-05	1.63e-08	2.99e+01	CAV1	caveolin 1
202995_s_at	2.75e-05	1.73e-08	2.97e+01	FBLN1	fibulin 1
230264_s_at	2.75e-05	1.75e-08	2.97e+01	AP1S2	adaptor related protein complex 1 sigma 2 subunit
201341_at	2.75e-05	1.79e-08	2.96e+01	ENC1	ectodermal-neural cortex 1
212014_x_at	2.75e-05	1.86e-08	2.95e+01	CD44	CD44 molecule (Indian blood group)
212646_at	2.75e-05	1.88e-08	2.95e+01	RFTN1	raftlin, lipid raft linker 1
209835_x_at	2.75e-05	1.91e-08	2.95e+01	CD44	CD44 molecule (Indian blood group)
228863_at	3.17e-05	2.26e-08	2.91e+01	PCDH17	protocadherin 17
212956_at	3.31e-05	2.42e-08	2.89e+01	TBC1D9	TBC1 domain family member 9
204134_at	3.48e-05	2.61e-08	2.87e+01	PDE2A	phosphodiesterase 2A
201340_s_at	3.48e-05	2.74e-08	2.86e+01	ENC1	ectodermal-neural cortex 1
205802_at	3.48e-05	2.76e-08	2.85e+01	TRPC1	transient receptor potential cation channel subfamily C member 1
204457_s_at	3.48e-05	2.80e-08	2.85e+01	GAS1	growth arrest specific 1
