"",title0
GSM3304749,789B: Tumor of Patient 789
GSM3304750,789A: Adenoma of Patient 789
GSM3304751,271C: Adjacent Mucosa of Patient 271
GSM3304752,271B: Tumor of Patient 271
GSM3304753,271A: Adenoma of Patient 271
GSM3304754,2615C: Adjacent Mucosa of Patient 2615
GSM3304755,2615B: Tumor of Patient 2615
GSM3304756,2615A: SSA of Patient 2615
GSM3304757,3492C: Adjacent Mucosa of Patient 3492
GSM3304758,3492B: Tumor of Patient 3492
GSM3304759,3492A: Adenoma of Patient 3492
GSM3304760,1487C: Adjacent Mucosa of Patient 1487
GSM3304761,1487B: Tumor of Patient 1487
GSM3304762,1467C: Adjacent Mucosa of Patient 1467
GSM3304763,833C: Adjacent Mucosa of Patient 833
GSM3304764,833B: Tumor of Patient 833
GSM3304765,833A: Adenoma of Patient 833
GSM3304766,7479C: Adjacent Mucosa of Patient 7479
GSM3304767,7479B: Tumor of Patient 7479
GSM3304768,7479A: Adenoma of Patient 7479
GSM3304769,744C: Adjacent Mucosa of Patient 744
GSM3304770,744B: Tumor of Patient 744
GSM3304771,744A: Adenoma of Patient 744
GSM3304772,533C: Adjacent Mucosa of Patient 533
GSM3304773,533B: Tumor of Patient 533
GSM3304774,533A: Adenoma of Patient 533
GSM3304775,4250C: Adjacent Mucosa of Patient 4250
GSM3304776,4250B: Tumor of Patient 4250
GSM3304777,4250A: Adenoma of Patient 4250
GSM3304778,4210C: Adjacent Mucosa of Patient 4210
GSM3304779,4210B: Tumor of Patient 4210
GSM3304780,4210A: Adenoma of Patient 4210
GSM3304781,3550C: Adjacent Mucosa of Patient 3550
GSM3304782,3550B: Tumor of Patient 3550
GSM3304783,3550A: SSA of Patient 3550
GSM3304784,3251C: Adjacent Mucosa of Patient 3251
GSM3304785,3251B: Tumor of Patient 3251
GSM3304786,3251A: Adenoma of Patient 3251
GSM3304787,300B: Tumor of Patient 300
GSM3304788,300A: Adenoma of Patient 300
GSM3304789,2969B: Tumor of Patient 2969
GSM3304790,2969A: Adenoma of Patient 2969
GSM3304791,2089C: Adjacent Mucosa of Patient 2089
GSM3304792,2089B: Tumor of Patient 2089
GSM3304793,2089A: Adenoma of Patient 2089
GSM3304794,119C: Adjacent Mucosa of Patient 119
GSM3304795,119B: Tumor of Patient 119
GSM3304796,119A: Adenoma of Patient 119
GSM3304797,355C: Adjacent Mucosa of Patient 355
GSM3304798,355A: Adenoma of Patient 355
GSM3304799,1889C: Adjacent Mucosa of Patient 1889
GSM3304800,1889B: Tumor of Patient 1889
GSM3304801,1889A: Tumor of Patient 1889
GSM3304802,2743C: Adjacent Mucosa of Patient 2743
GSM3304803,2743B: Tumor of Patient 2743
GSM3304804,2743A: Adenoma of Patient 2743
GSM3304805,1998B: Tumor of Patient 1998
GSM3304806,1998A: Adenoma of Patient 1998
GSM3304807,692C: Adjacent Mucosa of Patient 692
GSM3304808,692B: Tumor of Patient 692
GSM3304809,692A: Adenoma of Patient 692
GSM3304810,2505C: Adjacent Mucosa of Patient 2505
GSM3304811,2505A: Adenoma of Patient 2505
GSM3304812,2488B: Tumor of Patient 2488
GSM3304813,2488A: Tumor of Patient 2488
GSM3304814,1860C: Adjacent Mucosa of Patient 1860
GSM3304815,1860A: Adenoma of Patient 1860
GSM3304816,1818C: Adjacent Mucosa of Patient 1818
GSM3304817,1818B: Tumor of Patient 1818
GSM3304818,1818A: Tumor of Patient 1818
GSM3304819,2818C: Adjacent Mucosa of Patient 2818
GSM3304820,2818B: Tumor of Patient 2818
GSM3304821,2818A: Adenoma of Patient 2818
GSM3304822,5073C: Adjacent Mucosa of Patient 5073
GSM3304823,5073B: Tumor of Patient 5073
GSM3304824,5073A: SSA of Patient 5073
GSM3304825,5960C: Adjacent Mucosa of Patient 5960
GSM3304826,5960B: Tumor of Patient 5960
GSM3304827,5960A: Adenoma of Patient 5960
GSM3304828,73C: Adjacent Mucosa of Patient 73
GSM3304829,73B: Tumor of Patient 73
GSM3304830,3763C: Adjacent Mucosa of Patient 3763
GSM3304831,3763B: Tumor of Patient 3763
GSM3304832,3763A: Adenoma of Patient 3763
GSM3304833,9872C: Adjacent Mucosa of Patient 9872
GSM3304834,9872B: Tumor of Patient 9872
GSM3304835,9872A: Adenoma of Patient 9872
GSM3304836,12071C: Adjacent Mucosa of Patient 12071
GSM3304837,12071B: Tumor of Patient 12071
GSM3304838,12071A: SSA of Patient 12071
GSM3304839,984B: Tumor of Patient 984
GSM3304840,984A: SSA of Patient 984
GSM3304841,449C: Adjacent Mucosa of Patient 449
GSM3304842,449B: Tumor of Patient 449
GSM3304843,449A: Adenoma of Patient 449
GSM3304844,974C: Adjacent Mucosa of Patient 974
GSM3304845,974B: Tumor of Patient 974
GSM3304846,974A: Adenoma of Patient 974
GSM3304847,921C: Adjacent Mucosa of Patient 921
GSM3304848,921B: Tumor of Patient 921
GSM3304849,921A: Adenoma of Patient 921
GSM3304850,1506C: Adjacent Mucosa of Patient 1506
GSM3304851,1506B: Tumor of Patient 1506
GSM3304852,1506A: Adenoma of Patient 1506
GSM3304853,11218B: Tumor of Patient 11218
GSM3304854,11218A: Adenoma of Patient 11218
GSM3304855,10743C: Adjacent Mucosa of Patient 10743
GSM3304856,10743B: Tumor of Patient 10743
GSM3304857,10743A: Adenoma of Patient 10743
GSM3304858,290C: Adjacent Mucosa of Patient 290
GSM3304859,290B: Tumor of Patient 290
GSM3304860,290A: Adenoma of Patient 290
GSM3304861,9684C: Adjacent Mucosa of Patient 9684
GSM3304862,9684B: Tumor of Patient 9684
GSM3304863,9684A: Adenoma of Patient 9684
GSM3304864,9060C: Adjacent Mucosa of Patient 9060
GSM3304865,9060B: Tumor of Patient 9060
GSM3304866,9060A: Adenoma of Patient 9060
GSM3304867,7030C: Adjacent Mucosa of Patient 7030
GSM3304868,7030B: Tumor of Patient 7030
GSM3304869,7030A: Adenoma of Patient 7030
GSM3304870,4298C: Adjacent Mucosa of Patient 4298
GSM3304871,4298B: Tumor of Patient 4298
GSM3304872,4298A: Adenoma of Patient 4298
GSM3304873,1093C: Adjacent Mucosa of Patient 1093
GSM3304874,1093B: Tumor of Patient 1093
GSM3304875,1093A: Adenoma of Patient 1093
GSM3304876,392C: Adjacent Mucosa of Patient 392
GSM3304877,392B: Tumor of Patient 392
GSM3304878,392A: Adenoma of Patient 392
GSM3304879,3679B: Tumor of Patient 3679
GSM3304880,3679A: Adenoma of Patient 3679
GSM3304881,3392C: Adjacent Mucosa of Patient 3392
GSM3304882,3392B: Tumor of Patient 3392
GSM3304883,3392A: Adenoma of Patient 3392
GSM3304884,1865C: Adjacent Mucosa of Patient 1865
GSM3304885,1865B: Tumor of Patient 1865
GSM3304886,1865A: SSA of Patient 1865
GSM3304887,5647C: Adjacent Mucosa of Patient 5647
GSM3304888,5647B: Tumor of Patient 5647
GSM3304889,5647A: SSA of Patient 5647
GSM3304890,2866C: Adjacent Mucosa of Patient 2866
GSM3304891,2866B: Tumor of Patient 2866
GSM3304892,2866A: Adenoma of Patient 2866
GSM3304893,1716C: Adjacent Mucosa of Patient 1716
GSM3304894,1716B: Tumor of Patient 1716
GSM3304895,1716A: SSA of Patient 1716
GSM3304896,6758C: Adjacent Mucosa of Patient 6758
GSM3304897,6758B: Tumor of Patient 6758
GSM3304898,6758A: Adenoma of Patient 6758
GSM3304899,6513C: Adjacent Mucosa of Patient 6513
GSM3304900,6513B: Tumor of Patient 6513
GSM3304901,6513A: Adenoma of Patient 6513
GSM3304902,4733C: Adjacent Mucosa of Patient 4733
GSM3304903,4733B: Tumor of Patient 4733
GSM3304904,4733A: Adenoma of Patient 4733
GSM3304905,4390C: Adjacent Mucosa of Patient 4390
GSM3304906,4390B: Tumor of Patient 4390
GSM3304907,4390A: SSA of Patient 4390
GSM3304908,1246C: Adjacent Mucosa of Patient 1246
GSM3304909,1246B: Tumor of Patient 1246
GSM3304910,1246A: Adenoma of Patient 1246
GSM3304911,435C: Adjacent Mucosa of Patient 435
GSM3304912,435B: Tumor of Patient 435
GSM3304913,435A: Adenoma of Patient 435
GSM3304914,4155C: Adjacent Mucosa of Patient 4155
GSM3304915,4155B: Tumor of Patient 4155
GSM3304916,4155A: Adenoma of Patient 4155
GSM3304917,2967C: Adjacent Mucosa of Patient 2967
GSM3304918,2967B: Tumor of Patient 2967
GSM3304919,2967A: SSA of Patient 2967
GSM3304920,5570B: Tumor of Patient 5570
GSM3304921,5570A: Adenoma of Patient 5570
GSM3304922,5543C: Adjacent Mucosa of Patient 5543
GSM3304923,5543B: Tumor of Patient 5543
GSM3304924,5543A: Adenoma of Patient 5543
GSM3304925,4507C: Adjacent Mucosa of Patient 4507
GSM3304926,4507B: Tumor of Patient 4507
GSM3304927,4507A: Adenoma of Patient 4507
GSM3304928,25C: Adjacent Mucosa of Patient 25
GSM3304929,25B: Tumor of Patient 25
GSM3304930,25A: Adenoma of Patient 25
GSM3304931,1627C: Adjacent Mucosa of Patient 1627
GSM3304932,1627B: Tumor of Patient 1627
GSM3304933,1627A: Adenoma of Patient 1627
GSM3304934,678C: Adjacent Mucosa of Patient 678
GSM3304935,678B: Tumor of Patient 678
GSM3304936,678A: Adenoma of Patient 678
GSM3304937,559B: Tumor of Patient 559
GSM3304938,559A: Adenoma of Patient 559
GSM3304939,4755C: Adjacent Mucosa of Patient 4755
GSM3304940,4755B: Tumor of Patient 4755
GSM3304941,4755A: Adenoma of Patient 4755
GSM3304942,4397C: Adjacent Mucosa of Patient 4397
GSM3304943,4397B: Tumor of Patient 4397
GSM3304944,4397A: Adenoma of Patient 4397
GSM3304945,3976C: Adjacent Mucosa of Patient 3976
GSM3304946,3976B: Tumor of Patient 3976
GSM3304947,3976A: Adenoma of Patient 3976
GSM3304948,3809C: Adjacent Mucosa of Patient 3809
GSM3304949,3809B: Tumor of Patient 3809
GSM3304950,3809A: Adenoma of Patient 3809
GSM3304951,2942C: Adjacent Mucosa of Patient 2942
GSM3304952,2942B: Tumor of Patient 2942
GSM3304953,2942A: Adenoma of Patient 2942
GSM3304954,2364C: Adjacent Mucosa of Patient 2364
GSM3304955,2364B: Tumor of Patient 2364
