ID	adj.P.Val	P.Value	F	SPOT_ID
94234_at	3.11e-39	1.61e-43	162.48872	forkhead box Q1
8671_at	2.73e-36	2.83e-40	144.22445	solute carrier family 4 (sodium bicarbonate cotransporter), member 4
6533_at	2.92e-36	4.54e-40	143.11275	solute carrier family 6 (neurotransmitter transporter), member 6
1113_at	3.30e-36	6.86e-40	142.14702	chromogranin A
759_at	5.86e-36	1.52e-39	140.2916	carbonic anhydrase I
6659_at	4.52e-35	1.53e-38	134.98699	SRY (sex determining region Y)-box 4
286133_at	4.52e-35	1.64e-38	134.82346	scavenger receptor class A, member 5
3624_at	8.72e-35	3.62e-38	133.03637	inhibin, beta A
1001_at	2.55e-33	1.19e-36	125.28873	cadherin 3, type 1, P-cadherin (placental)
23213_at	2.93e-33	1.52e-36	124.75574	sulfatase 1
2980_at	4.66e-33	2.74e-36	123.482	guanylate cyclase activator 2A (guanylin)
1278_at	4.66e-33	3.00e-36	123.27939	collagen, type I, alpha 2
9075_at	4.66e-33	3.14e-36	123.18204	claudin 2
1277_at	6.22e-33	4.52e-36	122.39699	collagen, type I, alpha 1
84281_at	6.47e-33	5.03e-36	122.16617	chromosome 2 open reading frame 88
760_at	9.24e-33	7.67e-36	121.26216	carbonic anhydrase II
5139_at	1.23e-32	1.08e-35	120.52203	phosphodiesterase 3A, cGMP-inhibited
6286_at	2.37e-32	2.21e-35	119.00508	S100 calcium binding protein P
9076_at	3.21e-32	3.16e-35	118.24358	claudin 1
22802_at	4.50e-32	4.67e-35	117.42131	chloride channel accessory 4
6662_at	4.88e-32	5.31e-35	117.15028	SRY (sex determining region Y)-box 9
633_at	5.23e-32	5.97e-35	116.9046	biglycan
54860_at	1.89e-31	2.26e-34	114.12358	membrane-spanning 4-domains, subfamily A, member 12
4233_at	2.28e-31	2.84e-34	113.65273	MET proto-oncogene, receptor tyrosine kinase
8507_at	3.01e-31	3.90e-34	112.99562	ectodermal-neural cortex 1 (with BTB domain)
115908_at	3.77e-31	5.09e-34	112.44512	collagen triple helix repeat containing 1
2981_at	6.03e-31	8.45e-34	111.40301	guanylate cyclase activator 2B (uroguanylin)
57214_at	7.63e-31	1.12e-33	110.82681	cell migration inducing protein, hyaluronan binding
80031_at	7.63e-31	1.15e-33	110.77668	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D
1301_at	8.60e-31	1.34e-33	110.46273	collagen, type XI, alpha 1
861_at	9.66e-31	1.55e-33	110.15824	runt-related transcription factor 1
81618_at	1.39e-30	2.31e-33	109.34691	integral membrane protein 2C
9314_at	1.45e-30	2.48e-33	109.20459	Kruppel-like factor 4 (gut)
1303_at	2.33e-30	4.11e-33	108.18496	collagen, type XII, alpha 1
346389_at	2.35e-30	4.26e-33	108.1108	metastasis associated in colon cancer 1
2906_at	2.37e-30	4.42e-33	108.03725	glutamate receptor, ionotropic, N-methyl D-aspartate 2D
7045_at	1.24e-29	2.37e-32	104.67302	transforming growth factor, beta-induced, 68kDa
7058_at	1.40e-29	2.75e-32	104.3752	thrombospondin 2
64922_at	1.74e-29	3.52e-32	103.89089	leucine rich repeat containing 19
762_at	1.76e-29	3.65e-32	103.81672	carbonic anhydrase IV
63928_at	1.83e-29	3.90e-32	103.68728	calcineurin-like EF-hand protein 2
2191_at	1.14e-28	2.47e-31	100.06453	fibroblast activation protein, alpha
6696_at	1.14e-28	2.55e-31	100.00867	secreted phosphoprotein 1
7102_at	1.27e-28	2.89e-31	99.76139	tetraspanin 7
80727_at	1.27e-28	2.96e-31	99.71803	tweety family member 3
5570_at	1.45e-28	3.45e-31	99.42002	protein kinase (cAMP-dependent, catalytic) inhibitor beta
57556_at	1.53e-28	3.74e-31	99.2617	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
6332_at	1.53e-28	3.81e-31	99.22618	sodium channel, voltage gated, type VII alpha subunit
653808_at	1.70e-28	4.33e-31	98.98084	zymogen granule protein 16
1281_at	1.72e-28	4.47e-31	98.91843	collagen, type III, alpha 1
84830_at	2.51e-28	6.65e-31	98.15105	androgen-dependent TFPI-regulating protein
6943_at	3.10e-28	8.37e-31	97.70899	transcription factor 21
1290_at	4.86e-28	1.34e-30	96.81096	collagen, type V, alpha 2
6282_at	7.08e-28	1.98e-30	96.05802	S100 calcium binding protein A11
4306_at	7.09e-28	2.02e-30	96.0199	nuclear receptor subfamily 3, group C, member 2
126_at	9.91e-28	2.88e-30	95.35069	alcohol dehydrogenase 1C (class I), gamma polypeptide
23650_at	1.55e-27	4.59e-30	94.46441	tripartite motif containing 29
6678_at	1.73e-27	5.22e-30	94.22298	secreted protein, acidic, cysteine-rich (osteonectin)
11240_at	4.20e-27	1.29e-29	92.52649	peptidyl arginine deiminase, type II
9509_at	4.53e-27	1.41e-29	92.3547	ADAM metallopeptidase with thrombospondin type 1 motif, 2
256691_at	4.63e-27	1.46e-29	92.28403	MAM domain containing 2
489_at	5.78e-27	1.86e-29	91.83881	ATPase, Ca++ transporting, ubiquitous
145270_at	6.47e-27	2.11e-29	91.59991	proline rich membrane anchor 1
6689_at	6.54e-27	2.17e-29	91.54912	Spi-B transcription factor (Spi-1/PU.1 related)
1462_at	6.82e-27	2.30e-29	91.44161	versican
120400_at	7.37e-27	2.52e-29	91.26869	neurexophilin and PC-esterase domain family, member 1
4585_at	8.27e-27	2.88e-29	91.02604	mucin 4, cell surface associated
1009_at	8.39e-27	2.96e-29	90.97232	cadherin 11, type 2, OB-cadherin (osteoblast)
23382_at	9.53e-27	3.42e-29	90.70593	adenosylhomocysteinase-like 2
441951_at	9.53e-27	3.46e-29	90.68269	ZNFX1 antisense RNA 1
125_at	1.05e-26	3.87e-29	90.47342	alcohol dehydrogenase 1B (class I), beta polypeptide
2273_at	1.06e-26	3.98e-29	90.42526	four and a half LIM domains 1
23491_at	1.08e-26	4.10e-29	90.3674	carboxylesterase 3
1902_at	1.44e-26	5.53e-29	89.81641	lysophosphatidic acid receptor 1
11148_at	1.64e-26	6.39e-29	89.54862	HERV-H LTR-associating 2
1736_at	1.97e-26	7.77e-29	89.18894	dyskeratosis congenita 1, dyskerin
287_at	2.15e-26	8.60e-29	89.0018	ankyrin 2, neuronal
2934_at	2.79e-26	1.13e-28	88.5003	gelsolin
26112_at	2.89e-26	1.18e-28	88.4148	coiled-coil domain containing 69
7068_at	3.46e-26	1.44e-28	88.05893	thyroid hormone receptor, beta
3248_at	3.70e-26	1.55e-28	87.91578	hydroxyprostaglandin dehydrogenase 15-(NAD)
7076_at	5.07e-26	2.16e-28	87.31765	TIMP metallopeptidase inhibitor 1
7070_at	6.18e-26	2.67e-28	86.93017	Thy-1 cell surface antigen
1289_at	6.18e-26	2.69e-28	86.9133	collagen, type V, alpha 1
10351_at	7.80e-26	3.44e-28	86.46814	ATP-binding cassette, sub-family A (ABC1), member 8
84951_at	9.14e-26	4.08e-28	86.15919	tensin 4
10370_at	1.08e-25	4.89e-28	85.83002	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2
